,name,company,year,mileage,kms_driven,fuel_type,Price
1513,Toyota Innova 2.5 G,Toyota,2017,12.99,29219,Diesel,1348000.0
1514,Toyota Fortuner 4x4 MT,Toyota,2018,12.55,39927,Diesel,3210000.0
1515,Honda Jazz 1.2 E,Honda,2018,18.7,38593,Petrol,617000.0
1516,Honda City 1.5 V,Honda,2015,17.0,32000,Petrol,550000.0
1517,Maruti Dzire AMT ZDI,Maruti,2017,28.4,28226,Diesel,915000.0
1520,Honda Brio S MT,Honda,2016,19.4,14821,Petrol,537000.0
1522,Mahindra XUV500 W4,Mahindra,2016,16.0,33000,Diesel,925000.0
1523,Ford EcoSport 1.5 Diesel,Ford,2016,23.0,29200,Diesel,770000.0
1525,Hyundai i10 Sportz,Hyundai,2012,20.36,49000,Petrol,300000.0
1527,Tata Zest Quadrajet 1.3,Tata,2018,20.65,38310,Diesel,669000.0
1529,Skoda Rapid 1.5 TDI,Skoda,2017,21.72,31300,Diesel,1050000.0
1530,Toyota Innova Crysta 2.4,Toyota,2019,13.68,11241,Diesel,2255000.0
1531,Hyundai Verna 1.6 SX,Hyundai,2014,17.01,48000,Petrol,520000.0
1532,Honda City i VTEC,Honda,2019,17.4,23882,Petrol,1187000.0
1534,Volkswagen Vento Diesel Highline,Volkswagen,2011,20.54,50000,Diesel,500000.0
1535,Audi Q5 2008-2012 3.0,Audi,2014,12.19,25000,Diesel,4400000.0
1536,Maruti Alto 800 LXI,Maruti,2015,22.74,21000,Petrol,279000.0
1540,Mahindra Thar CRDe,Mahindra,2016,16.55,19000,Diesel,925000.0
1542,Ford Aspire Titanium Diesel,Ford,2017,26.1,30279,Diesel,729000.0
1543,Mini Cooper 3 DOOR,Mini,2016,20.7,20000,Diesel,2350000.0
1544,Maruti Omni 8 Seater,Maruti,2013,14.0,34834,Petrol,260000.0
1546,Mercedes-Benz E-Class 2009-2013 E250,Mercedes-Benz,2016,14.21,38730,Diesel,2998000.0
1549,Volkswagen Polo Petrol Highline,Volkswagen,2011,16.47,50000,Petrol,235000.0
1555,Honda City i DTec,Honda,2015,26.0,33000,Diesel,700000.0
1556,Volkswagen Ameo 1.2 MPI,Volkswagen,2017,17.0,22389,Petrol,723000.0
1558,Maruti Swift ZXI,Maruti,2012,18.6,42000,Petrol,450000.0
1559,Hyundai Creta 1.6 CRDi,Hyundai,2017,19.67,38767,Diesel,1260000.0
1560,Audi Q7 35 TDI,Audi,2015,12.07,21000,Diesel,4800000.0
1562,Honda Amaze SX i-DTEC,Honda,2014,25.8,36000,Diesel,325000.0
1565,Maruti Wagon R VXI,Maruti,2011,18.9,36411,Petrol,308000.0
1566,Land Rover Discovery Sport,Land,2017,12.81,40000,Diesel,4150000.0
1567,Honda City i VTEC,Honda,2016,17.8,27300,Petrol,700000.0
1568,Mercedes-Benz New C-Class C,Mercedes-Benz,2011,14.74,29813,Petrol,1150000.0
1570,Hyundai Verna 1.6 CRDI,Hyundai,2014,22.32,32000,Diesel,430000.0
1571,Maruti Ertiga VXI CNG,Maruti,2017,17.5,19234,CNG,835000.0
1574,Hyundai Grand i10 1.2,Hyundai,2014,24.0,42277,Diesel,385000.0
1575,Mercedes-Benz E-Class E250 CDI,Mercedes-Benz,2014,13.0,46000,Diesel,2325000.0
1576,Mahindra Bolero ZLX,Mahindra,2012,13.6,35000,Diesel,700000.0
1577,Hyundai Grand i10 Asta,Hyundai,2015,18.9,50000,Petrol,575000.0
1583,Maruti Wagon R VXI,Maruti,2013,18.9,36716,Petrol,302000.0
1585,Honda Brio S MT,Honda,2013,19.4,33000,Petrol,324000.0
1586,Maruti Alto 800 VXI,Maruti,2015,22.74,11110,Petrol,235000.0
1588,Honda City i VTEC,Honda,2015,17.8,27030,Petrol,675000.0
1589,Skoda Rapid 1.6 MPI,Skoda,2015,15.0,19600,Petrol,615000.0
1590,Maruti Swift VVT VXI,Maruti,2016,22.0,27755,Petrol,545000.0
1591,Hyundai EON Magna Plus,Hyundai,2013,21.1,20000,Petrol,229999.99999999997
1592,Maruti Swift Dzire ZXI,Maruti,2015,20.85,24782,Petrol,621000.0
1593,Nissan Micra XV CVT,Nissan,2014,19.34,47303,Petrol,521000.0
1596,Tata Xenon XT EX,Tata,2017,13.49,1000,Diesel,750000.0
1597,Volkswagen Polo 1.5 TDI,Volkswagen,2016,20.14,29000,Diesel,400000.0
1598,Honda City i VTEC,Honda,2016,17.8,36367,Petrol,773000.0
1599,Honda City i VTEC,Honda,2015,17.4,38000,Petrol,780000.0
1605,Hyundai i20 1.2 Sportz,Hyundai,2011,17.0,32200,Petrol,325000.0
1608,Maruti Ciaz 1.4 Zeta,Maruti,2018,20.73,32644,Petrol,927999.9999999999
1611,Maruti Ciaz ZXi Option,Maruti,2016,20.73,40347,Petrol,780000.0
1613,Honda Jazz 1.2 SV,Honda,2018,18.7,18664,Petrol,756000.0
1618,Maruti Celerio VXI AT,Maruti,2014,23.1,49800,Petrol,400000.0
1623,Ford Ecosport 1.5 Ti,Ford,2013,16.5,38000,Petrol,625000.0
1625,Maruti Swift VDI BSIV,Maruti,2017,25.2,49224,Diesel,600000.0
1626,Maruti 800 Std BSIII,Maruti,2004,16.1,12000,Petrol,45000.0
1628,Hyundai Creta 1.6 SX,Hyundai,2018,15.29,2500,Petrol,1275000.0
1629,BMW X1 M Sport,BMW,2017,17.05,32838,Diesel,3029000.0
1630,Ford Ikon 1.3 Flair,Ford,2006,13.8,27076,Petrol,160000.0
1632,Maruti Ciaz VXi Plus,Maruti,2015,20.73,46601,Petrol,684000.0
1634,Honda Jazz 1.5 VX,Honda,2017,27.3,27000,Diesel,800000.0
1636,Hyundai Grand i10 CRDi,Hyundai,2017,24.0,34429,Diesel,550000.0
1637,Mercedes-Benz GL-Class 2007 2012,Mercedes-Benz,2013,12.0,46000,Diesel,3600000.0
1639,Nissan Sunny 2011-2014 XL,Nissan,2011,16.95,42000,Petrol,300000.0
1644,Volkswagen Polo Petrol Highline,Volkswagen,2011,16.47,44748,Petrol,488999.99999999994
1645,Nissan Terrano XL,Nissan,2013,13.24,31000,Petrol,495000.0
1647,Toyota Etios Liva GD,Toyota,2011,23.59,32000,Diesel,385000.0
1648,Honda City 1.5 S,Honda,2014,17.0,43772,Petrol,635000.0
1649,Hyundai Grand i10 AT,Hyundai,2017,18.9,23576,Petrol,708000.0
1650,Jaguar XE 2.0L Diesel,Jaguar,2017,13.6,4000,Diesel,3800000.0
1652,Mercedes-Benz New C-Class C,Mercedes-Benz,2011,11.74,36000,Petrol,1015000.0
1659,Hyundai i10 Magna,Hyundai,2013,20.36,21000,Petrol,235000.0
1661,Maruti Wagon R LXI,Maruti,2012,22.5,45631,Petrol,274000.0
1664,Volkswagen Vento 2013-2015 1.6,Volkswagen,2016,15.04,25899,Petrol,620000.0
1667,Renault Duster Petrol RxL,Renault,2013,13.24,20000,Petrol,600000.0
1668,Hyundai EON Sportz,Hyundai,2017,21.1,31829,Petrol,365000.0
1669,Maruti Swift VXI,Maruti,2016,18.6,18094,Petrol,626000.0
1671,Audi Q5 3.0 TDI,Audi,2015,13.22,11964,Diesel,3295000.0000000005
1672,Hyundai i20 1.2 Spotz,Hyundai,2018,18.6,22684,Petrol,780000.0
1673,Honda Brio S MT,Honda,2014,19.4,43521,Petrol,425000.0
1674,Maruti Swift Dzire ZXi,Maruti,2014,17.5,49386,Petrol,486000.00000000006
1675,Hyundai Grand i10 1.2,Hyundai,2017,18.9,12248,Petrol,490000.00000000006
1678,Maruti Alto K10 VXI,Maruti,2011,24.07,48624,Petrol,322000.0
1679,Volkswagen Polo Diesel Comfortline,Volkswagen,2014,22.07,30000,Diesel,325000.0
1681,Mercedes-Benz New C-Class C,Mercedes-Benz,2017,14.84,32642,Diesel,3478000.0
1682,Hyundai Verna 1.6 SX,Hyundai,2014,15.74,34200,Petrol,650000.0
1685,Mahindra TUV 300 2015-2019,Mahindra,2017,18.49,47357,Diesel,836999.9999999999
1687,BMW 5 Series 520d,BMW,2018,22.48,32586,Diesel,3729999.9999999995
1690,Hyundai Grand i10 1.2,Hyundai,2018,18.9,10393,Petrol,603000.0
1691,Skoda Superb Elegance 1.8,Skoda,2011,13.7,46000,Petrol,490000.00000000006
1692,Hyundai i10 Sportz AT,Hyundai,2013,16.95,21000,Petrol,396000.0
1702,Honda Amaze V CVT,Honda,2018,19.0,1700,Petrol,780000.0
1703,Hyundai i10 Era 1.1,Hyundai,2013,19.81,34697,Petrol,370000.0
1705,BMW 3 Series 320d,BMW,2015,19.59,32500,Diesel,2675000.0
1707,Maruti Swift VXI Optional,Maruti,2017,20.4,37124,Petrol,544000.0
1708,Maruti Baleno Delta Automatic,Maruti,2017,21.4,44000,Petrol,620000.0
1709,Hyundai Accent GLE,Hyundai,2005,13.2,45200,Petrol,90000.0
1710,Maruti Ritz LXi,Maruti,2016,18.5,11000,Petrol,395000.0
1717,Toyota Etios G Safety,Toyota,2012,17.6,44223,Petrol,399000.0
1718,Hyundai Grand i10 Sportz,Hyundai,2015,18.9,36840,Petrol,564000.0
1722,Ford Endeavour 3.2 Titanium,Ford,2017,10.91,38000,Diesel,3048000.0
1723,Maruti Ciaz Zeta,Maruti,2017,21.56,5500,Petrol,819999.9999999999
1724,Ford Figo 1.5D Titanium,Ford,2015,25.83,1001,Diesel,755000.0
1728,Maruti Swift Dzire VXI,Maruti,2016,19.1,18000,Petrol,440000.00000000006
1731,Hyundai Elite i20 Petrol,Hyundai,2018,18.6,32851,Petrol,834000.0
1732,Maruti Swift Dzire VDI,Maruti,2014,23.4,32000,Diesel,434999.99999999994
1735,Hyundai Grand i10 Sportz,Hyundai,2016,18.9,19947,Petrol,504000.0
1741,Maruti Wagon R LXI,Maruti,2010,22.5,21002,Petrol,275000.0
1744,Maruti Wagon R AMT,Maruti,2015,20.51,34000,Petrol,385000.0
1745,Maruti Eeco 7 Seater,Maruti,2017,15.1,28371,Petrol,474000.0
1747,Maruti Zen Estilo 1.1,Maruti,2011,18.2,25805,Petrol,262000.0
1752,Renault KWID Climber 1.0,Renault,2017,21.7,15000,Petrol,425000.0
1755,Datsun GO T Option,Datsun,2016,20.63,19000,Petrol,299000.0
1756,Hyundai i20 1.2 Magna,Hyundai,2011,18.5,37442,Petrol,340000.0
1759,Hyundai Grand i10 Magna,Hyundai,2014,18.9,42355,Petrol,400000.0
1765,Hyundai i20 1.2 Magna,Hyundai,2016,18.6,28470,Petrol,695000.0
1766,Hyundai EON 1.0 Kappa,Hyundai,2014,20.3,9759,Petrol,275000.0
1768,Hyundai i20 Sportz 1.2,Hyundai,2017,18.6,8000,Petrol,675000.0
1771,Honda WRV i-VTEC VX,Honda,2018,17.5,15135,Petrol,928999.9999999999
1773,Honda Amaze E i-Vtech,Honda,2013,18.0,40000,Petrol,290000.0
1774,Hyundai Verna 1.6 SX,Hyundai,2013,17.1,21107,Petrol,525000.0
1776,Hyundai Creta 1.6 SX,Hyundai,2017,15.29,19623,Petrol,1312000.0
1778,Maruti Wagon R LXI,Maruti,2013,26.6,25755,CNG,315000.0
1781,Maruti Wagon R VXI,Maruti,2017,22.5,37832,Petrol,523000.00000000006
1782,Hyundai Grand i10 1.2,Hyundai,2016,18.9,43041,Petrol,601000.0
1786,Volkswagen Ameo 1.2 MPI,Volkswagen,2018,17.0,46007,Petrol,571000.0
1791,Hyundai Grand i10 1.2,Hyundai,2017,18.9,31184,Petrol,500000.0
1792,Maruti Dzire AMT ZDI,Maruti,2017,28.4,41747,Diesel,900000.0
1793,Maruti Swift VDI,Maruti,2016,22.9,38143,Diesel,522000.0
1794,Volkswagen Polo Petrol Highline,Volkswagen,2012,16.47,19030,Petrol,380000.0
1795,Toyota Etios Liva 1.2,Toyota,2019,18.16,20877,Petrol,727000.0
1796,Maruti Swift VXI,Maruti,2016,22.0,23555,Petrol,509999.99999999994
1797,Mercedes-Benz E-Class 2009-2013 E250,Mercedes-Benz,2013,14.21,29000,Diesel,2900000.0
1799,Tata Nano Lx BSIV,Tata,2012,26.0,4187,Petrol,138000.0
1800,Skoda Laura 1.8 TSI,Skoda,2011,13.4,46000,Petrol,550000.0
1801,Volkswagen Polo GT TSI,Volkswagen,2016,17.21,28000,Petrol,725000.0
1803,Tata Bolt Quadrajet XE,Tata,2017,22.95,40000,Diesel,525000.0
1804,Hyundai EON D Lite,Hyundai,2013,21.1,36000,Petrol,195000.0
1805,Audi A4 2.0 TDI,Audi,2014,17.11,21000,Diesel,2450000.0
1813,Ford Figo Diesel Titanium,Ford,2015,20.0,36000,Diesel,495000.0
1814,Hyundai i20 1.2 Magna,Hyundai,2019,18.6,27339,Petrol,627000.0
1815,Hyundai Verna 1.6 CRDi,Hyundai,2017,23.9,25000,Diesel,865000.0
1816,Hyundai Grand i10 Asta,Hyundai,2014,18.9,37000,Petrol,350000.0
1818,Maruti Swift Dzire ZXi,Maruti,2015,17.5,27000,Petrol,445000.0
1819,Hyundai i20 Magna,Hyundai,2012,18.5,37000,Petrol,265000.0
1820,Mahindra KUV 100 mFALCON,Mahindra,2017,25.32,10500,Diesel,470000.0
1821,Hyundai Elantra 1.6 SX,Hyundai,2014,18.23,49000,Diesel,890000.0
1822,Jeep Compass 2.0 Limited,Jeep,2017,17.1,7000,Diesel,1745000.0
1826,BMW X1 xDrive 20d,BMW,2016,20.68,7000,Diesel,2775000.0
1827,Hyundai i20 Magna 1.4,Hyundai,2015,22.54,29000,Diesel,700000.0
1839,Mercedes-Benz A Class A180,Mercedes-Benz,2016,15.5,17000,Petrol,1725000.0
1840,Hyundai Grand i10 1.2,Hyundai,2018,18.9,46493,Petrol,553000.0
1842,Maruti Swift DDiS ZDI,Maruti,2017,28.4,2000,Diesel,819999.9999999999
1845,Mini Cooper Countryman D,Mini,2014,23.8,45535,Diesel,1941000.0
1846,Fiat Linea T-Jet Active,Fiat,2016,15.7,39228,Petrol,658000.0
1854,Hyundai Grand i10 Sportz,Hyundai,2018,18.9,1800,Petrol,509999.99999999994
1856,Chevrolet Spark 1.0 LS,Chevrolet,2009,18.0,44200,Petrol,160000.0
1857,Honda City i VTEC,Honda,2018,17.4,14000,Petrol,1125000.0
1861,BMW 5 Series 2013-2017,BMW,2017,18.12,19543,Diesel,4050000.0
1862,Audi Q5 30 TDI,Audi,2014,14.16,38000,Diesel,3895000.0000000005
1863,Maruti Ritz LDi,Maruti,2014,23.2,32805,Diesel,360000.0
1864,Volkswagen Vento 1.5 TDI,Volkswagen,2016,21.21,44782,Diesel,712000.0
1870,Maruti Eeco 7 Seater,Maruti,2014,15.1,34669,Petrol,290000.0
1871,Maruti Ciaz ZXi,Maruti,2017,20.73,17000,Petrol,765000.0
1874,Maruti Swift Dzire VXI,Maruti,2014,19.1,48800,Petrol,425000.0
1875,Toyota Innova Crysta 2.8,Toyota,2019,11.36,10601,Diesel,1964999.9999999998
1876,Tata Indica V2 eLX,Tata,2017,25.0,8200,Diesel,440000.00000000006
1879,Chevrolet Enjoy 1.3 TCDi,Chevrolet,2015,18.2,50000,Diesel,430000.0
1882,Honda Jazz 1.2 VX,Honda,2017,18.7,24700,Petrol,707000.0
1884,Hyundai Grand i10 1.2,Hyundai,2018,18.9,9434,Petrol,575000.0
1885,Maruti Ritz VXi,Maruti,2012,18.5,29000,Petrol,325000.0
1886,Volkswagen Ameo 1.5 TDI,Volkswagen,2017,22.0,22440,Diesel,889000.0
1888,Honda Jazz 1.2 S,Honda,2016,18.7,21771,Petrol,495000.0
1890,Hyundai Creta 1.6 CRDi,Hyundai,2017,17.01,37024,Diesel,1097000.0
1892,Hyundai EON D Lite,Hyundai,2014,21.1,26008,Petrol,197000.0
1894,Volkswagen Ameo 1.2 MPI,Volkswagen,2018,17.0,35569,Petrol,727000.0
1895,Renault Scala Diesel RxL,Renault,2013,21.64,40000,Diesel,400000.0
1896,Honda Jazz 1.2 V,Honda,2015,18.7,45000,Petrol,475000.0
1897,Hyundai i20 1.2 Sportz,Hyundai,2015,17.0,42000,Petrol,509999.99999999994
1898,Audi A4 3.0 TDI,Audi,2012,14.94,46913,Diesel,1611000.0
1900,Toyota Fortuner 2.8 2WD,Toyota,2017,12.9,15000,Diesel,3000000.0
1902,Mercedes-Benz New C-Class 250,Mercedes-Benz,2012,15.8,41367,Diesel,1848999.9999999998
1903,Maruti Ciaz 1.4 Zeta,Maruti,2018,20.73,15982,Petrol,996000.0000000001
1906,BMW 5 Series 2007-2010,BMW,2012,16.73,49000,Diesel,1550000.0
1907,Mitsubishi Pajero 2.8 SFX,Mitsubishi,2013,10.5,48272,Diesel,1182000.0
1910,Maruti Omni E MPI,Maruti,2013,16.8,11734,Petrol,225000.0
1912,Hyundai Xcent 1.2 Kappa,Hyundai,2017,25.0,46000,CNG,495000.0
1913,Honda Jazz 1.5 S,Honda,2016,27.3,45449,Diesel,748000.0
1916,Audi A4 2.0 TDI,Audi,2013,16.55,45330,Diesel,1319000.0
1918,Maruti Dzire VDI,Maruti,2016,28.4,45376,Diesel,575000.0
1922,BMW 5 Series 2013-2017,BMW,2017,14.69,27313,Diesel,4863000.0
1923,Audi Q5 30 TDI,Audi,2015,14.16,42747,Diesel,3947000.0
1924,BMW X1 sDrive 20d,BMW,2015,20.68,42265,Diesel,2224000.0
1925,Hyundai i10 Magna AT,Hyundai,2009,19.2,21000,Petrol,260000.0
1930,Ford EcoSport 1.5 Diesel,Ford,2017,23.0,26000,Diesel,899000.0
1931,Volkswagen Vento Diesel Highline,Volkswagen,2011,20.54,35000,Diesel,315000.0
1932,Maruti Dzire ZDI Plus,Maruti,2017,28.4,24000,Diesel,819999.9999999999
1934,Hyundai i20 Asta 1.4,Hyundai,2016,22.54,44487,Diesel,730000.0
1936,Hyundai i10 Magna,Hyundai,2015,20.36,34951,Petrol,315000.0
1940,Honda Jazz 1.5 S,Honda,2016,27.3,43000,Diesel,775000.0
1941,Mercedes-Benz E-Class 2009-2013 E,Mercedes-Benz,2013,10.0,45200,Diesel,2300000.0
1942,Mahindra XUV500 AT W10,Mahindra,2016,16.0,41000,Diesel,1375000.0
1943,Honda City i VTEC,Honda,2017,18.0,39430,Petrol,828999.9999999999
1945,Mercedes-Benz New C-Class 220,Mercedes-Benz,2017,14.84,32324,Diesel,3050000.0
1946,Honda City 1.5 S,Honda,2011,17.0,49999,Petrol,380000.0
1951,Hyundai Creta 1.6 SX,Hyundai,2017,19.67,44865,Diesel,1335000.0
1952,Audi A3 35 TDI,Audi,2017,20.38,22000,Diesel,2250000.0
1959,Maruti Vitara Brezza ZDi,Maruti,2016,24.3,41372,Diesel,930000.0000000001
1961,Mercedes-Benz GLA Class 200,Mercedes-Benz,2017,17.9,35000,Diesel,2350000.0
1965,Hyundai Grand i10 Sportz,Hyundai,2016,18.9,26038,Petrol,543000.0
1966,Toyota Fortuner 4x4 AT,Toyota,2018,12.55,37713,Diesel,3162000.0
1968,Ford EcoSport 1.5 TDCi,Ford,2017,22.77,30453,Diesel,844999.9999999999
1976,Maruti Ciaz VXi Plus,Maruti,2015,20.73,35770,Petrol,595000.0
1978,Skoda Rapid 1.5 TDI,Skoda,2015,21.66,45000,Diesel,425000.0
1979,Mercedes-Benz New C-Class C,Mercedes-Benz,2013,14.84,21000,Diesel,2350000.0
1981,Maruti Celerio VXI,Maruti,2014,23.1,41123,Petrol,340000.0
1983,BMW 3 Series 320d,BMW,2014,22.69,48000,Diesel,2160000.0
1985,Maruti Swift Dzire Tour,Maruti,2018,23.4,12000,Diesel,550000.0
1986,Land Rover Freelander 2,Land,2012,12.39,34000,Diesel,1925000.0
1989,Jeep Compass 2.0 Longitude,Jeep,2018,17.1,28937,Diesel,1702000.0
1993,Maruti Vitara Brezza ZDi,Maruti,2018,24.3,3000,Diesel,1125000.0
1998,Mahindra Renault Logan 1.4,Mahindra,2008,15.7,2200,Petrol,229999.99999999997
2001,BMW X1 sDrive 20d,BMW,2016,20.68,28143,Diesel,2850000.0
2002,Volkswagen Vento 2013-2015 1.6,Volkswagen,2015,15.04,23001,Petrol,549000.0
2005,Hyundai Verna 1.6 CRDi,Hyundai,2016,22.32,37451,Diesel,664000.0
2007,Hyundai Grand i10 Asta,Hyundai,2016,18.9,25000,Petrol,500000.0
2008,Volkswagen Ameo 1.2 MPI,Volkswagen,2017,17.0,12000,Petrol,540000.0
2009,Renault KWID RXT,Renault,2017,25.17,25000,Petrol,299000.0
2011,Hyundai Grand i10 1.2,Hyundai,2018,18.9,5354,Petrol,676000.0
2012,Volkswagen Polo 1.0 MPI,Volkswagen,2016,18.78,42000,Petrol,550000.0
2013,Maruti Swift VDI BSIV,Maruti,2014,25.2,44282,Diesel,599000.0
2015,Jaguar XF 2.2 Litre,Jaguar,2013,16.36,31400,Diesel,2675000.0
2016,Maruti Ciaz ZDi SHVS,Maruti,2016,28.09,50000,Diesel,850000.0
2018,Ford Figo Petrol ZXI,Ford,2014,15.6,21727,Petrol,335000.0
2019,Hyundai Santa Fe 4x4,Hyundai,2012,11.72,43000,Diesel,1075000.0
2022,Audi A4 New 2.0,Audi,2012,15.2,44555,Diesel,1350000.0
2028,Toyota Innova Crysta 2.4,Toyota,2016,13.68,25121,Diesel,1711000.0
2033,Hyundai Grand i10 CRDi,Hyundai,2015,24.0,35000,Diesel,488000.0
2034,Honda City i VTEC,Honda,2016,18.0,8000,Petrol,944999.9999999999
2038,Mercedes-Benz E-Class 2009-2013 E,Mercedes-Benz,2011,12.3,25000,Petrol,2200000.0
2041,Maruti Swift ZXI,Maruti,2015,20.4,40000,Petrol,590000.0
2045,Hyundai Grand i10 AT,Hyundai,2017,18.9,22526,Petrol,760000.0
2052,Maruti Ignis 1.2 Alpha,Maruti,2017,20.89,1000,Petrol,636000.0
2054,BMW 7 Series 730Ld,BMW,2015,16.77,29966,Diesel,4360000.0
2058,Audi A4 2.0 TDI,Audi,2014,17.11,24000,Diesel,2500000.0
2059,Jeep Compass 2.0 Longitude,Jeep,2018,17.1,33218,Diesel,1905000.0
2060,Hyundai Verna 1.4 VTVT,Hyundai,2015,17.43,33425,Petrol,450000.0
2061,Honda Amaze VX i-Vtech,Honda,2013,18.0,47000,Petrol,415000.00000000006
2062,Hyundai Creta 1.6 CRDi,Hyundai,2015,19.67,41000,Diesel,1190000.0
2064,Mahindra TUV 300 T8,Mahindra,2016,18.49,47035,Diesel,695000.0
2070,Audi A6 2.7 TDI,Audi,2009,12.4,30000,Diesel,894999.9999999999
2071,Mini Cooper 5 DOOR,Mini,2017,20.7,2000,Diesel,3400000.0
2072,Maruti Swift 1.3 LXI,Maruti,2011,16.1,24255,Petrol,315000.0
2073,Tata Zest Revotron 1.2T,Tata,2015,17.57,40000,Petrol,400000.0
2074,Honda City i DTEC,Honda,2014,26.0,40000,Diesel,445000.0
2075,Chevrolet Beat LT,Chevrolet,2010,18.6,26000,Petrol,150000.0
2077,Ford Aspire Titanium Plus,Ford,2015,26.1,2800,Diesel,841000.0
2079,Honda City i VTEC,Honda,2015,18.0,32896,Petrol,890000.0
2080,Hyundai i10 Sportz 1.2,Hyundai,2012,20.36,45000,Petrol,365000.0
2082,Audi A4 2.0 TDI,Audi,2013,16.55,45200,Diesel,1350000.0
2084,Hyundai Grand i10 1.2,Hyundai,2016,18.9,37429,Petrol,589000.0
2085,Maruti Ciaz ZDi Plus,Maruti,2016,28.09,46000,Diesel,844999.9999999999
2087,BMW 6 Series 640d,BMW,2013,9.52,30000,Diesel,4500000.0
2088,Maruti Celerio VXI AMT,Maruti,2016,23.1,47691,Petrol,394000.0
2089,Renault Koleos 2.0 Diesel,Renault,2011,13.73,32531,Diesel,800000.0
2092,Maruti Dzire VDI,Maruti,2015,28.4,28193,Diesel,525000.0
2096,Hyundai Grand i10 1.2,Hyundai,2015,18.9,20780,Petrol,430000.0
2097,Honda Mobilio S i,Honda,2014,17.3,43081,Petrol,525000.0
2098,Porsche Cayenne Turbo S,Porsche,2010,11.9,35000,Petrol,3200000.0
2099,Mahindra Quanto C8,Mahindra,2013,17.21,36000,Diesel,390000.0
2101,Mahindra KUV 100 mFALCON,Mahindra,2016,25.32,34079,Diesel,370000.0
2106,Mahindra XUV500 W8 2WD,Mahindra,2016,15.1,41840,Diesel,1352000.0
2107,Toyota Fortuner 4x2 MT,Toyota,2015,13.0,19317,Diesel,2450000.0
2108,Tata Indigo CS Emax,Tata,2014,24.6,41000,CNG,325000.0
2112,Audi A4 35 TDI,Audi,2015,17.11,50000,Diesel,2500000.0
2113,Maruti Zen VXI,Maruti,2009,17.3,37000,Petrol,100000.0
2115,Maruti Baleno Delta Automatic,Maruti,2018,21.4,21684,Petrol,789000.0
2117,Ford Freestyle Titanium Petrol,Ford,2007,19.0,1261,Petrol,600000.0
2119,Mercedes-Benz New C-Class C,Mercedes-Benz,2018,19.27,24465,Diesel,3945000.0000000005
2121,Ford EcoSport 1.5 Ti,Ford,2017,18.88,2000,Petrol,865000.0
2122,Maruti Baleno Alpha 1.2,Maruti,2017,21.4,25040,Petrol,774000.0
2125,Maruti Baleno Delta,Maruti,2016,21.4,12573,Petrol,580000.0
2129,Honda City 1.5 V,Honda,2013,17.0,45000,Petrol,455000.0
2132,Toyota Fortuner 2.8 2WD,Toyota,2017,12.9,29000,Diesel,3100000.0
2137,Land Rover Range Rover,Land,2016,15.68,29022,Diesel,3408000.0
2141,Hyundai EON D Lite,Hyundai,2015,21.1,31412,Petrol,342000.0
2143,Ford Endeavour 2.2 Titanium,Ford,2018,12.62,14000,Diesel,3199000.0
2145,Maruti Ciaz AT ZXi,Maruti,2014,19.12,46738,Petrol,610000.0
2151,Mercedes-Benz New C-Class C,Mercedes-Benz,2017,19.71,14470,Diesel,3850000.0
2153,Maruti Swift Dzire VXI,Maruti,2013,19.1,40000,Petrol,355000.0
2155,Hyundai Creta 1.6 SX,Hyundai,2016,15.8,24347,Petrol,1100000.0
2157,Mahindra XUV500 W8 2WD,Mahindra,2014,15.1,49663,Diesel,842000.0
2158,Honda City i-VTEC CVT,Honda,2017,18.0,17000,Petrol,1160000.0
2159,Jaguar XF 2.2 Litre,Jaguar,2016,16.36,13418,Diesel,3363000.0000000005
2164,Honda Brio 1.2 VX,Honda,2014,18.5,41460,Petrol,395000.0
2166,Volkswagen Polo Petrol Comfortline,Volkswagen,2015,16.47,34010,Petrol,495000.0
2172,Maruti Baleno Alpha Automatic,Maruti,2017,21.4,14900,Petrol,860000.0
2174,Volkswagen Vento 1.6 Highline,Volkswagen,2015,15.04,40194,Petrol,555000.0
2176,Land Rover Discovery HSE,Land,2017,18.0,35000,Diesel,4160000.0
2177,Honda City i VTEC,Honda,2015,18.0,50000,Petrol,741000.0
2178,Nissan Terrano XL 110,Nissan,2014,19.01,50000,Diesel,650000.0
2179,Maruti Alto LXi,Maruti,2008,19.7,26299,Petrol,120000.0
2185,Hyundai Tucson 2.0 Dual,Hyundai,2016,12.95,13000,Petrol,1775000.0
2187,Audi A4 2.0 TFSI,Audi,2011,10.8,38000,Petrol,1200000.0
2188,Mercedes-Benz E-Class E250 CDI,Mercedes-Benz,2016,13.0,46936,Diesel,2960000.0
2190,Honda Amaze S AT,Honda,2014,15.5,19000,Petrol,475000.0
2191,Volvo S60 D4 SUMMUM,Volvo,2016,9.0,42259,Diesel,2436000.0
2192,Maruti Swift Dzire 1.2,Maruti,2011,17.5,14000,Petrol,320000.0
2193,Maruti Wagon R VXI,Maruti,2016,22.5,16956,Petrol,360000.0
2194,Maruti Omni MPI STD,Maruti,2017,16.8,15473,Petrol,358000.0
2197,Toyota Camry Hybrid,Toyota,2015,19.16,25000,Petrol,2500000.0
2198,Maruti Wagon R VXI,Maruti,2010,22.5,38000,Petrol,175000.0
2200,Maruti Baleno Zeta Automatic,Maruti,2018,21.4,4131,Petrol,775000.0
2201,Honda Jazz 1.2 VX,Honda,2016,18.7,31700,Petrol,645000.0
